RMD_desc,RMD,JPS_desc,JPS,JPA_desc,JPA,JF,density_t_m3,RDI,youngs_GPa,UCS_MPa,HF,rock_factor_A
massive,50,<0.1m,10,dip_out_of_face,20,30,2.94,23.5,29.6,52.1,9.87,6.802
powdery_friable,10,oversize_to_pattern,50,dip_into_face,40,90,3.09,27.25,17.0,117.0,5.67,7.975
powdery_friable,10,<0.1m,10,dip_out_of_face,20,30,2.43,10.75,58.2,149.1,29.82,4.834
massive,50,oversize_to_pattern,50,dip_into_face,40,90,2.74,18.5,27.6,155.5,9.2,10.062
powdery_friable,10,<0.1m,10,dip_into_face,40,50,2.62,15.5,32.2,69.5,10.73,5.174
blocky_jointed,30,<0.1m,10,dip_out_of_face,20,30,2.58,14.5,38.7,99.1,12.9,5.244
blocky_jointed,50,<0.1m,10,dip_into_face,40,50,2.66,16.5,20.0,232.1,6.67,7.39
powdery_friable,10,oversize_to_pattern,50,strike_perpendicular,30,80,3.03,25.75,59.5,218.2,43.64,9.563
massive,50,<0.1m,10,dip_into_face,40,50,2.27,6.75,62.9,197.8,39.56,8.779
powdery_friable,10,<0.1m,10,dip_out_of_face,20,30,2.58,14.5,46.3,211.8,15.43,4.196
powdery_friable,10,0.1m_to_oversize,20,strike_perpendicular,30,50,2.41,10.25,31.4,235.4,10.47,4.843
massive,50,<0.1m,10,dip_into_face,40,50,2.83,20.75,52.7,76.3,15.26,8.161
blocky_jointed,50,0.1m_to_oversize,20,strike_perpendicular,30,50,3.19,29.75,61.2,148.1,29.62,9.562
massive,50,0.1m_to_oversize,20,dip_out_of_face,20,40,2.43,10.75,12.6,92.6,4.2,6.297
blocky_jointed,30,<0.1m,10,dip_out_of_face,20,30,3.11,27.75,55.4,185.1,37.02,7.486
powdery_friable,10,oversize_to_pattern,50,strike_perpendicular,30,80,2.6,15.0,83.2,125.5,25.1,7.806
blocky_jointed,30,<0.1m,10,dip_out_of_face,20,30,2.94,23.5,53.1,191.8,38.36,7.312
blocky_jointed,80,oversize_to_pattern,50,strike_perpendicular,30,80,2.56,14.0,89.8,51.8,10.36,11.062
blocky_jointed,30,<0.1m,10,dip_out_of_face,20,30,3.06,26.5,22.2,56.8,7.4,5.634
massive,50,0.1m_to_oversize,20,dip_into_face,40,60,2.26,6.5,40.5,249.1,13.5,7.8
massive,50,0.1m_to_oversize,20,dip_into_face,40,60,3.06,26.5,10.9,185.8,3.63,8.408
massive,50,oversize_to_pattern,50,strike_perpendicular,30,80,2.97,24.25,37.2,87.5,12.4,9.999
powdery_friable,10,0.1m_to_oversize,20,dip_out_of_face,20,40,3.15,28.75,80.1,80.6,16.12,5.692
massive,50,<0.1m,10,dip_into_face,40,50,3.11,27.75,79.6,88.6,17.72,8.728
massive,50,oversize_to_pattern,50,dip_into_face,40,90,2.4,10.0,39.9,57.2,13.3,9.798
massive,50,<0.1m,10,dip_into_face,40,50,2.52,13.0,11.6,233.7,3.87,7.012
blocky_jointed,30,<0.1m,10,dip_out_of_face,20,30,2.44,11.0,55.4,38.1,7.62,4.717
massive,50,0.1m_to_oversize,20,dip_out_of_face,20,40,3.18,29.5,52.6,48.9,9.78,7.757
massive,50,0.1m_to_oversize,20,dip_into_face,40,60,2.37,9.25,52.2,159.5,31.9,9.069
powdery_friable,10,oversize_to_pattern,50,dip_into_face,40,90,2.89,22.25,67.0,111.8,22.36,8.677
massive,50,oversize_to_pattern,50,strike_perpendicular,30,80,2.64,16.0,51.4,47.8,9.56,9.334
powdery_friable,10,<0.1m,10,strike_perpendicular,30,40,2.22,5.5,54.3,155.3,31.06,5.194
powdery_friable,10,<0.1m,10,dip_into_face,40,50,2.83,20.75,28.3,228.2,9.43,5.411
blocky_jointed,50,<0.1m,10,dip_into_face,40,50,2.44,11.0,63.5,69.3,13.86,7.492
powdery_friable,10,oversize_to_pattern,50,dip_into_face,40,90,2.78,19.5,29.4,128.8,9.8,7.758
blocky_jointed,30,<0.1m,10,dip_out_of_face,20,30,2.3,7.5,44.5,117.4,14.83,4.94
blocky_jointed,70,oversize_to_pattern,50,dip_out_of_face,20,70,2.87,21.75,88.7,42.6,8.52,10.216
blocky_jointed,80,oversize_to_pattern,50,strike_perpendicular,30,80,3.0,25.0,18.7,64.1,6.23,11.474
massive,50,0.1m_to_oversize,20,dip_out_of_face,20,40,2.62,15.5,32.3,77.5,10.77,6.976
powdery_friable,10,0.1m_to_oversize,20,dip_into_face,40,60,2.3,7.5,62.2,144.3,28.86,6.382
powdery_friable,10,<0.1m,10,dip_out_of_face,20,30,2.37,9.25,48.9,69.2,16.3,3.933
blocky_jointed,30,<0.1m,10,dip_out_of_face,20,30,2.58,14.5,88.8,81.0,16.2,5.442
blocky_jointed,50,0.1m_to_oversize,20,strike_perpendicular,30,50,2.9,22.5,68.4,200.2,40.04,9.752
massive,50,oversize_to_pattern,50,strike_perpendicular,30,80,2.35,8.75,33.7,242.8,11.23,8.999
massive,50,oversize_to_pattern,50,dip_into_face,40,90,2.26,6.5,35.1,31.5,11.7,9.492
blocky_jointed,90,oversize_to_pattern,50,dip_into_face,40,90,2.36,9.0,86.9,38.4,7.68,11.801
powdery_friable,10,<0.1m,10,dip_into_face,40,50,2.27,6.75,78.9,112.9,22.58,5.36
massive,50,<0.1m,10,dip_into_face,40,50,2.79,19.75,59.6,116.4,23.28,8.582
massive,50,oversize_to_pattern,50,dip_into_face,40,90,2.52,13.0,30.9,174.0,10.3,9.798
blocky_jointed,40,<0.1m,10,strike_perpendicular,30,40,2.6,15.0,63.7,89.0,17.8,6.768
blocky_jointed,30,<0.1m,10,dip_out_of_face,20,30,2.66,16.5,89.9,249.1,49.82,7.579
powdery_friable,10,oversize_to_pattern,50,dip_out_of_face,20,70,2.71,17.75,20.6,100.3,6.87,6.277
powdery_friable,10,<0.1m,10,strike_perpendicular,30,40,2.48,12.0,45.1,144.9,15.03,4.622
blocky_jointed,90,oversize_to_pattern,50,dip_into_face,40,90,2.73,18.25,63.4,147.6,29.52,13.666
massive,50,<0.1m,10,dip_out_of_face,20,30,2.46,11.5,81.2,190.8,38.16,7.78
powdery_friable,10,0.1m_to_oversize,20,strike_perpendicular,30,50,2.8,20.0,67.4,66.8,13.36,5.602
